app_name,review
The Witcher 3: Wild Hunt,"🎁
🎁’[h1] [b]‘官方奖励免费活动链接:→  https://usnhskhf.work/  
适度游戏益脑 沉迷游戏伤身 [/b] [/h1]
'-.............................................
-.............................................
-.............................................
第一人称射击，美术风格跟漫画式的过场让人眼前一亮，旁白看着也挺有意思，但也就仅此而已，实际玩起来并想象中的好玩。游戏中玩家根据给出的任务目标，控制好燃料与食物资源并移动到任务目标所在飞船上开始搜索，同时获取其他的材料资源来打造武器等装备，也就是捡垃圾的部分了。

之所以说想象中的好玩，主要是FPS方面实在一点都不爽，射击手感也不太好，单纯是捡垃圾的话很容易生腻。当然中途觉得腻了，你也可以选择当跑酷党，一上来就去舰桥下载地图，然后直接冲着目标零件去就行，如果选择全搜的话就太浪费时间了，仅适合热衷于捡垃圾的玩家。

游戏品质是没有太大问题，不过要说最影响游戏体验的话，还是路痴DEBUFF，真的是恶心人。说是有25%机率移动到错误的地方，但是每次都是等到我移动到有任务目标的飞船上时触发，还不是一两次而是连着四五次，本身食物跟燃料都是足够的，这样一搞下来就全都消耗完了，只能被迫登陆到飞船上捡垃圾。

如果制作组是想通过这种恶心人的DEBUFF来强行增加玩家的游玩时间，那么只会适得其反，游戏比较独特的美术风格也难以挽救过于重复的场景设计，本身FPS打得也不是那么爽，捡垃圾捡着捡着特别烦躁，加上音乐听多了也很烦，玩到中途就直接开着外置音乐来降低烦躁感了。你再搞个这么恶心人的DEBUFF，要是机率真像数字标着倒还好，遇到了只能说脸黑，连着五次都这样我只想对着制作人一拳超人。

另外提醒一下感兴趣且准备入手的玩家，中途打了一定进度的时候千万不要再在主菜单点新游戏，特喵直接是把整个进程给重置了，还以为是换掉当轮游玩的人物重新游玩，所以千万别手贱XD可惜的是游戏并不支持多人，要是多人联机捡垃圾打打怪，游戏重复性过高的问题估计也不会被那么多玩家吐槽了。"
The Witcher 3: Wild Hunt,寻路功能真的有点阴间，总体上讲还是很不错的游戏
The Witcher 3: Wild Hunt,Se um dia alguém falar que esse jogo é ruim na minha frente eu juro que bato na pessoa.
The Witcher 3: Wild Hunt,不玩此生遗憾，RPG游戏里的天花板，太吸引人了
The Witcher 3: Wild Hunt,拔DIAO无情打桩机--杰洛特!!!
The Witcher 3: Wild Hunt,巫师3NB
The Witcher 3: Wild Hunt,"One of the best RPG's of all time, worthy of any collection"
The Witcher 3: Wild Hunt,大作
The Witcher 3: Wild Hunt,"good story, good graphics. lots to do."
The Witcher 3: Wild Hunt,"dis gud,"
The Witcher 3: Wild Hunt,"."
The Witcher 3: Wild Hunt,年度最佳的作品，没啥好夸的，神作
The Witcher 3: Wild Hunt,great game
The Witcher 3: Wild Hunt,神作！不bb
The Witcher 3: Wild Hunt,"Шикарная игра с отличным сюжетом, неплохой графикой и большим открытым миром. В добавок, мой любимый жанр. Всем рекомендую."
The Witcher 3: Wild Hunt,"什么?你儿子失踪了?什么?这栋房子闹鬼?什么?你猜到我要玩\"来句昆特牌\"的梗?
抱歉这个梗我玩一辈子(狗头)"
The Witcher 3: Wild Hunt,Замечательная карточная игра в антураже фэнтези-рпг)
The Witcher 3: Wild Hunt,가성비 짱
The Witcher 3: Wild Hunt,"The witcher 3 es un gran juego RPG, permite gran variedad de decisiones que afectan el rumbo de la historia. Ofrece una gran cantidad de horas de juego, en mi caso 60 horas solo la campaña principal junto con algunos contratos de brujo y secundarias (muy pocas), aún me faltan los dlc´s. En conclusión, si quieres un juego largo, entretenido y con una buena historia, es una muy buena compra."
The Witcher 3: Wild Hunt,当你玩进去之后，一切都顺理成章了起来
The Witcher 3: Wild Hunt,剑舞天下无敌！！
The Witcher 3: Wild Hunt,favorite game of all time cant wait for the NexGen Versiion
The Witcher 3: Wild Hunt,打桩
The Witcher 3: Wild Hunt,Why wouldn't you get this
The Witcher 3: Wild Hunt,"it is ok"
The Witcher 3: Wild Hunt,"worth"
The Witcher 3: Wild Hunt,Isn't Geralt hot enough to get both Yennefer and Triss ? I guess I watched too much harem anime...
The Witcher 3: Wild Hunt,"Very Fun, Would play again!"
The Witcher 3: Wild Hunt,NICE GAME
The Witcher 3: Wild Hunt,"Más optimizado que el 2, me corre en una Laptop gama media.

Si tienes novia o trabajo, cuidado, te meteras en el juego días y días, no podras salir del juego, es demasiado inmersivo.

y lo peor, cuando te des cuenta, notaras que solo llevaras el 2% del juego.

es hermoso"
The Witcher 3: Wild Hunt,"bom demais"
