recommended,language,count,porcentaje
False,brazilian,46890,0.055986455313519375
True,brazilian,790634,0.9440135446864806
True,bulgarian,9434,0.9024296919839296
False,bulgarian,1020,0.0975703080160704
True,czech,124377,0.9283251231527093
False,czech,9603,0.07167487684729064
True,danish,51428,0.9197531968165966
False,danish,4487,0.08024680318340338
False,dutch,6204,0.07999484236993101
True,dutch,71351,0.920005157630069
True,english,8584444,0.8909241999091478
False,english,1050993,0.10907580009085213
True,finnish,50318,0.9196885509577424
False,finnish,4394,0.08031144904225763
False,french,51360,0.09480370133142348
True,french,490391,0.9051962986685765
True,german,666223,0.8852332459912091
False,german,86373,0.11476675400879091
True,greek,13262,0.9163902708678828
False,greek,1210,0.08360972913211719
True,hungarian,65501,0.9225363023056014
False,hungarian,5500,0.07746369769439868
False,italian,13284,0.09964968081196036
True,italian,120023,0.9003503191880396
False,japanese,15906,0.1945592876189544
True,japanese,65848,0.8054407123810455
False,koreana,96959,0.15800838287442637
True,koreana,516673,0.8419916171255737
False,latam,3753,0.05353551203229533
True,latam,66350,0.9464644879677047
True,norwegian,33761,0.917493273908199
False,norwegian,3036,0.08250672609180096
True,polish,468655,0.9457670489517264
False,polish,26874,0.054232951048273664
False,portuguese,4360,0.053571867397341065
True,portuguese,77026,0.9464281326026589
True,romanian,31245,0.9546287809349221
False,romanian,1485,0.04537121906507791
False,russian,253466,0.10790838264719656
True,russian,2095434,0.8920916173528034
False,schinese,862024,0.22895924452989894
True,schinese,2902943,0.7710407554701011
True,spanish,754956,0.9282398072099542
False,spanish,58364,0.07176019279004574
True,swedish,74453,0.928040784782988
False,swedish,5773,0.07195921521701194
True,tchinese,182088,0.8344889850277035
False,tchinese,36115,0.16551101497229645
True,thai,116175,0.9111550316463142
False,thai,11328,0.0888449683536858
False,turkish,61884,0.0973220857159033
True,turkish,573984,0.9026779142840967
True,ukrainian,19584,0.9251263640228636
False,ukrainian,1585,0.07487363597713638
False,vietnamese,531,0.08069908814589666
True,vietnamese,6049,0.9193009118541033
