app_name,count
Human: Fall Flat,123604
DRAGON BALL FighterZ,34629
The Elder Scrolls V: Skyrim,294966
Umbrella Corps,2505
Wallpaper Engine,292790
Nova Drift,3539
Detention,9203
SOULCALIBUR VI,8211
The Witcher 3: Wild Hunt,469395
GOD EATER 3,5128
The Legend of Heroes: Trails of Cold Steel II,1701
Thief Simulator,9626
Ori and the Will of the Wisps,52554
Danganronpa 2: Goodbye Despair,13622
STEINS;GATE 0,3202
Just Cause 3,82168
NieR:Automata™,81110
SOS,6900
BattleBlock Theater,59317
For The King,17118
Farming Simulator 19,38429
Resident Evil 7 Biohazard,36142
Pogostuck: Rage With Your Friends,2332
Terraria,672815
Day of Infamy,20908
Dead by Daylight,418897
Momodora: Reverie Under the Moonlight,8218
Void Bastards,3573
Stellaris,94667
Middle-earth™: Shadow of War™,54196
Secret of Mana,1900
Age of Empires: Definitive Edition,5963
Down To One,2101
20XX,3610
Fallout 4,228957
Bless Online,10197
Divinity: Original Sin 2,113508
Steel Division: Normandy 44,5201
RimWorld,94041
DYNASTY WARRIORS 9,7807
FAR: Lone Sails,8005
Dead Rising 4,4308
Hotline Miami,60074
Puyo Puyo™Tetris®,4497
Cold Waters,2714
Rust,549074
Slime Rancher,58049
Torment: Tides of Numenera,3601
SENRAN KAGURA Peach Beach Splash,3100
"Warhammer 40,000: Mechanicus",7207
NBA 2K18,18718
Super Meat Boy,28192
Just Cause 4,18111
Into the Breach,11246
Phasmophobia,219090
Bomber Crew,7689
X-Blades,2805
Ghost of a Tale,3303
Clicker Heroes 2,2100
House Flipper,36092
Ni no Kuni™ II: Revenant Kingdom,7609
Blackwake,21147
Crash Bandicoot™ N. Sane Trilogy,10313
Identity,1804
Due Process,3104
Out of the Park Baseball 19,700
Sid Meier's Civilization V,171404
Takedown: Red Sabre,5502
Total War: THREE KINGDOMS,66982
Rise of the Tomb Raider,91106
Dead Cells,64772
Tom Clancy's Ghost Recon® Wildlands,51460
Pillars of Eternity II: Deadfire,11619
Hearts of Iron IV,116255
Urban Empire,2300
Celeste,31454
OneShot,18975
Railway Empire,6302
Portal 2,232329
Tom Clancy's Rainbow Six Siege,841918
Total War: ROME II - Emperor Edition,57149
Devil May Cry HD Collection,2999
Warhammer: Vermintide 2,61887
American Truck Simulator,71140
Among Us,485293
Cube World,16333
Battle Royale Trainer,1600
Totally Accurate Battlegrounds,34465
Resident Evil 2,82650
Slay the Spire,86023
Pathfinder: Kingmaker,20386
Doki Doki Literature Club,148837
Grimm's Hollow,5345
Borderlands 3,67080
DOOM Eternal,105196
"Papers, Please",39882
My Time At Portia,29557
Townscaper,7601
Frostpunk,59768
Getting Over It with Bennett Foddy,31970
The Henry Stickmin Collection,19400
Senren＊Banka,5034
Rapture Rejects,1603
People Playground,26319
Jurassic World Evolution,38096
FINAL FANTASY XV WINDOWS EDITION,32864
Arma 3,182348
Grand Theft Auto V,1019116
The Elder Scrolls Online,91923
SimAirport,2803
RollerCoaster Tycoon World,5304
Ravenfield,31746
The Wild Eight,5601
Shadow Complex Remastered,700
PC Building Simulator,29623
Fishing: Barents Sea,1802
Wolfenstein: Youngblood,7445
Total War Saga: Thrones of Britannia,10009
Foundation,7060
Dishonored,56337
Phoenix Wright: Ace Attorney Trilogy,9360
Tomb Raider,181054
Shovel Knight: Treasure Trove,13030
The Walking Dead,52757
PLAYERUNKNOWN'S BATTLEGROUNDS,1644255
Nioh: Complete Edition,24622
Beat Saber,46043
Titan Souls,5714
Hollow Knight,269854
Finding Paradise,10429
DARK SOULS™: REMASTERED,36603
To the Moon,52738
FINAL FANTASY XII THE ZODIAC AGE,4207
FINAL FANTASY XIV Online,29941
Rise of Industry,3102
Sniper Elite 4,28252
SENRAN KAGURA ESTIVAL VERSUS,4105
Factorio,108282
Don't Starve,85088
Northgard,32733
The Wolf Among Us,24931
One Finger Death Punch,15504
DUSK,11050
Danganronpa: Trigger Happy Havoc,16689
The Room,15820
Kingdom Come: Deliverance,72944
Vampyr,13312
Kingdom Two Crowns,6709
Gunpoint,11610
Assassin's Creed Odyssey,92766
Darksiders III,10008
