app_name,language,count
Subnautica,brazilian,2802
Human: Fall Flat,danish,124
Beat Saber,portuguese,32
The Forest,french,6614
PC Building Simulator,german,1678
Cube World,dutch,36
Nether,bulgarian,13
Takedown: Red Sabre,romanian,6
Axiom Verge,bulgarian,2
Guacamelee! Super Turbo Championship Edition,bulgarian,1
20XX,schinese,201
Euro Truck Simulator 2,swedish,2407
Pathfinder: Kingmaker,schinese,1629
Foundation,turkish,109
Borderlands 3,latam,181
A Short Hike,russian,78
三国群英传8 Heroes of the Three Kingdoms 8,tchinese,565
Hotline Miami,polish,1248
Tomb Raider,russian,23270
Tomb Raider,danish,124
Mirror,spanish,1018
BattleBlock Theater,dutch,131
Dishonored,turkish,3100
Rocket League,thai,376
Oxygen Not Included,brazilian,1879
STAR WARS™ Empire at War: Gold Pack,czech,89
BioShock Infinite,english,50275
Finding Paradise,danish,2
Danganronpa 2: Goodbye Despair,koreana,749
Grimm's Hollow,japanese,3
Jurassic World Evolution,schinese,4811
DARK SOULS™ III,brazilian,9578
Total War Saga: Thrones of Britannia,french,401
Total War Saga: Thrones of Britannia,japanese,4
Total War: WARHAMMER,japanese,61
The Elder Scrolls V: Skyrim Special Edition,latam,364
House Flipper,russian,1690
Secret of Mana,danish,2
We Were Here Too,czech,19
Europa Universalis IV,german,4007
The Wild Eight,tchinese,67
Getting Over It with Bennett Foddy,finnish,82
Pogostuck: Rage With Your Friends,dutch,9
NBA 2K18,brazilian,390
NBA 2K19,koreana,356
NBA 2K19,french,310
Titan Souls,swedish,2
Wallpaper Engine,schinese,123648
Into the Breach,italian,61
Into the Breach,brazilian,129
The Henry Stickmin Collection,polish,393
Mirror,vietnamese,44
South Park™: The Stick of Truth™,hungarian,203
OneShot,french,445
Broforce,dutch,109
The Wolf Among Us,vietnamese,2
Satisfactory,japanese,278
ULTRAKILL,polish,31
Finding Paradise,french,90
Keep Talking and Nobody Explodes,bulgarian,4
Danganronpa 2: Goodbye Despair,dutch,28
Danganronpa 2: Goodbye Despair,romanian,2
Grimm's Hollow,schinese,58
Grand Theft Auto V,latam,2470
Stellaris,german,4337
Tom Clancy's Ghost Recon® Wildlands,german,1772
Deep Rock Galactic,swedish,211
Two Point Hospital,russian,641
Football Manager 2019,italian,191
Trailmakers,danish,47
The Legend of Heroes: Trails of Cold Steel II,portuguese,1
Freeman: Guerrilla Warfare,spanish,80
FAR: Lone Sails,thai,12
Kingdom Two Crowns,thai,29
Tales of Berseria,turkish,16
Urban Empire,german,198
The Witcher 3: Wild Hunt,schinese,101519
Half-Life,latam,602
Overcooked! 2,german,300
NBA 2K21,hungarian,26
NBA 2K19,german,275
Wolfenstein: Youngblood,hungarian,32
Axiom Verge,polish,17
Factorio,danish,255
Insurgency: Sandstorm,spanish,1150
Euro Truck Simulator 2,french,12058
Farming Simulator 19,greek,63
Into the Breach,vietnamese,1
DEATH STRANDING,czech,238
Tom Clancy's Rainbow Six Siege,hungarian,5178
DRAGON BALL FighterZ,thai,191
Raft,greek,65
Raft,ukrainian,89
HITMAN™ 2,russian,4859
Mirror,koreana,3026
Dishonored,bulgarian,24
Undertale,japanese,1507
Undertale,ukrainian,47
Dead Cells,hungarian,73
The Wolf Among Us,norwegian,30
The Walking Dead,swedish,110
Oxygen Not Included,latam,161
Oxygen Not Included,greek,36
Townscaper,brazilian,148
Dying Light,japanese,594
Age of Empires II (2013),swedish,397
STEINS;GATE,turkish,27
Danganronpa 2: Goodbye Despair,german,119
Kingdom Come: Deliverance,russian,8646
The Crew 2,finnish,191
Hearts of Iron IV,thai,373
Surviving Mars,romanian,5
Arma 3,spanish,5549
Staxel,polish,34
Rise of Industry,czech,13
Dungreed,english,1238
Dungreed,norwegian,2
Cyberdimension Neptunia: 4 Goddesses Online,spanish,61
Eco,romanian,3
Ghost of a Tale,french,327
Totally Accurate Battlegrounds,tchinese,217
Totally Accurate Battlegrounds,latam,40
Thief Simulator,tchinese,54
Torment: Tides of Numenera,koreana,54
Pit People,english,4162
Avorion,polish,87
Northgard,greek,15
BERSERK and the Band of the Hawk,turkish,10
Fairy Fencer F Advent Dark Force,koreana,26
SimAirport,russian,75
SimAirport,portuguese,8
The Witcher 3: Wild Hunt,brazilian,24463
Half-Life 2: Episode Two,italian,164
Subnautica,greek,75
Artifact,romanian,9
Cube World,thai,175
Axiom Verge,brazilian,126
The Binding of Isaac: Rebirth,koreana,5189
Shovel Knight: Treasure Trove,latam,57
Shovel Knight: Treasure Trove,swedish,33
Momodora: Reverie Under the Moonlight,latam,78
Enter the Gungeon,vietnamese,11
Salt and Sanctuary,dutch,5
The End Is Nigh,polish,31
Wallpaper Engine,ukrainian,300
Pathfinder: Kingmaker,thai,13
Warhammer: Vermintide 2,greek,19
Sekiro™: Shadows Die Twice,thai,551
Void Bastards,norwegian,2
Among Us,thai,728
Raft,bulgarian,29
Phasmophobia,dutch,970
People Playground,bulgarian,5
Slime Rancher,polish,1315
South Park™: The Stick of Truth™,spanish,2053
Bloons TD 6,dutch,385
Castle Crashers,vietnamese,17
GRIS,polish,173
There Is No Game: Wrong Dimension,dutch,9
Dying Light,russian,40559
Age of Empires II (2013),spanish,12001
Danganronpa: Trigger Happy Havoc,spanish,502
Danganronpa: Trigger Happy Havoc,finnish,13
Mark of the Ninja,thai,87
The Binding of Isaac,brazilian,1915
Danganronpa 2: Goodbye Despair,turkish,76
PLAYERUNKNOWN'S BATTLEGROUNDS,german,29144
Monster Hunter: World,danish,132
Cities: Skylines,french,3859
Black Desert Online,czech,296
ARK: Survival Evolved,dutch,4075
DARK SOULS™ III,english,88860
Watch_Dogs 2,danish,86
Pillars of Eternity II: Deadfire,finnish,21
Call of Duty: WWII,bulgarian,12
BATTLETECH,swedish,29
Total War: WARHAMMER,french,2220
My Time At Portia,vietnamese,20
Staxel,russian,112
BATTALION 1944,vietnamese,1
Fishing: Barents Sea,dutch,15
Monster Prom,russian,100
STEINS;GATE 0,finnish,1
Totally Accurate Battlegrounds,finnish,173
For The King,japanese,42
SENRAN KAGURA ESTIVAL VERSUS,latam,13
Streets of Rogue,finnish,12
Half-Life,bulgarian,57
Portal 2,romanian,223
Deus Ex: The Fall,german,202
Artifact,tchinese,180
Wolfenstein: Youngblood,danish,15
Foundation,brazilian,141
GOD EATER 3,vietnamese,2
Warhammer: Vermintide 2,schinese,12948
Tom Clancy's Rainbow Six Siege,italian,5752
Tomb Raider,latam,956
OneShot,italian,99
There Is No Game: Wrong Dimension,czech,8
Ravenfield,czech,115
DOOM,hungarian,613
STEINS;GATE,german,56
PLAYERUNKNOWN'S BATTLEGROUNDS,thai,12707
PLAYERUNKNOWN'S BATTLEGROUNDS,danish,2190
Assassin's Creed Origins,italian,214
Black Desert Online,brazilian,23
Kingdom Come: Deliverance,schinese,8772
SCUM,schinese,5651
Frostpunk,german,2679
Don't Starve Together,hungarian,1065
Arma 3,norwegian,477
Dungreed,tchinese,48
Farm Together,portuguese,82
Cyberdimension Neptunia: 4 Goddesses Online,brazilian,36
PixARK,schinese,1433
Monster Prom,koreana,41
Totally Accurate Battlegrounds,hungarian,92
Planet Coaster,hungarian,63
FINAL FANTASY XII THE ZODIAC AGE,russian,80
Resident Evil 7 Biohazard,brazilian,2598
Pit People,german,93
Youtubers Life,japanese,59
For The King,swedish,31
Steel Division: Normandy 44,spanish,117
DiRT 4,norwegian,29
The Witcher 3: Wild Hunt,japanese,917
Half-Life,brazilian,1847
Cold Waters,japanese,27
Pogostuck: Rage With Your Friends,polish,8
Shadow Complex Remastered,french,28
Slay the Spire,english,41684
Wallpaper Engine,greek,96
GOD EATER 3,japanese,198
Sekiro™: Shadows Die Twice,turkish,326
Void Bastards,romanian,1
HITMAN™ 2,turkish,1176
Hades,polish,1166
Don't Starve,tchinese,702
STAR WARS™ Empire at War: Gold Pack,finnish,44
Duck Game,romanian,6
Mark of the Ninja,greek,7
Danganronpa 2: Goodbye Despair,english,7347
Terraria,brazilian,27911
PAYDAY 2,ukrainian,1003
Deep Rock Galactic,vietnamese,9
The Sims(TM) 3,swedish,56
Rise of Industry,norwegian,1
Devil May Cry HD Collection,japanese,19
Rules Of Survival,italian,13
Crash Bandicoot™ N. Sane Trilogy,tchinese,35
Mutant Year Zero: Road to Eden,schinese,895
Pit People,tchinese,77
Pit People,dutch,13
BERSERK and the Band of the Hawk,thai,21
SENRAN KAGURA ESTIVAL VERSUS,italian,34
SENRAN KAGURA ESTIVAL VERSUS,portuguese,5
SENRAN KAGURA ESTIVAL VERSUS,hungarian,1
Dead Rising 4,dutch,11
Cold Waters,portuguese,5
A Hat in Time,english,24944
A Hat in Time,bulgarian,1
The Forest,japanese,588
Pogostuck: Rage With Your Friends,finnish,8
NBA 2K18,swedish,4
NBA 2K21,brazilian,145
Deus Ex: The Fall,ukrainian,8
Rapture Rejects,italian,15
Down To One,french,42
Momodora: Reverie Under the Moonlight,koreana,550
GOD EATER 3,spanish,80
GOD EATER 3,danish,1
Warhammer: Vermintide 2,spanish,1438
Borderlands 3,french,1521
Age of Empires: Definitive Edition,brazilian,427
Void Bastards,swedish,5
三国群英传8 Heroes of the Three Kingdoms 8,schinese,7461
Blackwake,romanian,20
Bomber Crew,ukrainian,6
Phasmophobia,german,15462
Mount & Blade: Warband,french,2769
Totally Accurate Battle Simulator,dutch,230
Totally Accurate Battle Simulator,portuguese,86
Resident Evil 2,japanese,309
South Park™: The Stick of Truth™,english,23239
Broforce,german,1216
GRIS,danish,11
STAR WARS™ Empire at War: Gold Pack,dutch,140
Super Hexagon,polish,393
HuniePop,latam,48
Grand Theft Auto V,polish,23044
Monster Hunter: World,latam,705
Assassin's Creed Origins,schinese,24646
Assassin's Creed Origins,danish,99
ARK: Survival Evolved,japanese,1451
DARK SOULS™ III,polish,3486
They Are Billions,english,14523
PAYDAY 2,german,13291
Football Manager 2019,brazilian,17
SOS,bulgarian,2
Puyo Puyo™Tetris®,thai,5
Farm Together,tchinese,193
DYNASTY WARRIORS 9,finnish,2
METAL GEAR SURVIVE,hungarian,17
SENRAN KAGURA Peach Beach Splash,dutch,1
Monster Prom,japanese,3
Farm Manager 2018,norwegian,2
FAR: Lone Sails,finnish,10
Totally Accurate Battlegrounds,russian,3566
Yakuza 0,swedish,57
Thief Simulator,turkish,658
Tales of Berseria,koreana,395
Streets of Rogue,french,346
X-Plane 11,japanese,23
Half-Life: Alyx,koreana,914
Portal 2,turkish,8446
Celeste,danish,21
Celeste,czech,26
Artifact,greek,8
Call of Duty: Infinite Warfare,polish,641
The Binding of Isaac: Rebirth,german,4779
Cave Story+,latam,14
Assassin's Creed Odyssey,spanish,1652
Mount & Blade: Warband,ukrainian,149
People Playground,turkish,487
People Playground,thai,48
South Park™: The Stick of Truth™,vietnamese,1
Rocket League,vietnamese,18
Divinity: Original Sin 2,italian,720
One Finger Death Punch,polish,144
Baba Is You,latam,19
The Room,german,770
Dying Light,bulgarian,76
Black Mesa,thai,137
The Binding of Isaac,japanese,153
HuniePop,french,224
Jurassic World Evolution,swedish,230
Frostpunk,latam,160
FINAL FANTASY XV WINDOWS EDITION,dutch,41
Sword Art Online: Fatal Bullet,german,370
Sword Art Online: Fatal Bullet,romanian,6
PAYDAY 2,greek,546
Hunt: Showdown,greek,53
Football Manager 2019,russian,456
For Honor,norwegian,117
BATTALION 1944,tchinese,28
The Legend of Heroes: Trails of Cold Steel II,thai,6
We Were Here Too,italian,31
Farm Manager 2018,brazilian,81
Rules Of Survival,polish,20
Urban Empire,bulgarian,1
Fairy Fencer F Advent Dark Force,japanese,81
Ultimate Marvel vs. Capcom 3,danish,1
Half-Life: Alyx,norwegian,87
Overcooked! 2,swedish,22
Slipstream,spanish,39
Rapture Rejects,brazilian,52
Guacamelee! Super Turbo Championship Edition,japanese,14
Cave Story+,schinese,178
Super Meat Boy,french,1160
Shadow Complex Remastered,romanian,1
The End Is Nigh,swedish,1
Sekiro™: Shadows Die Twice,polish,762
DEATH STRANDING,koreana,1239
DEATH STRANDING,finnish,49
MORDHAU,romanian,22
Age of Empires: Definitive Edition,latam,85
Among Us,german,18091
Blackwake,czech,108
Bomber Crew,brazilian,205
Mirror,brazilian,945
Rocket League,japanese,897
Baba Is You,dutch,13
Baba Is You,danish,4
Baba Is You,thai,5
Senren＊Banka,czech,2
GRIS,finnish,28
The Elder Scrolls V: Skyrim,italian,2865
The Room,japanese,152
The Room,schinese,1200
Dying Light,turkish,11482
Saints Row: The Third,romanian,104
Tabletop Simulator,latam,122
Phoenix Wright: Ace Attorney Trilogy,danish,7
Monster Hunter: World,ukrainian,12
Rise of the Tomb Raider,spanish,3445
DARK SOULS™: REMASTERED,turkish,202
For Honor,latam,231
Desolate,ukrainian,5
Heroes of Hammerwatch,french,101
Rules Of Survival,russian,941
Vampyr,tchinese,113
Vampyr,greek,10
Mutant Year Zero: Road to Eden,greek,19
Europa Universalis IV,finnish,156
FINAL FANTASY XIV Online,koreana,15
Avorion,latam,2
Night in the Woods,vietnamese,2
X-Plane 11,greek,5
DiRT 4,spanish,595
Terraria,latam,3066
The Witcher 3: Wild Hunt,finnish,793
Human: Fall Flat,dutch,192
PC Building Simulator,russian,2038
"Warhammer 40,000: Dawn of War III",ukrainian,12
RimWorld,tchinese,1293
Slay the Spire,brazilian,764
A Way Out,koreana,333
Borderlands 3,czech,260
DEATH STRANDING,greek,35
DEATH STRANDING,vietnamese,11
Rust,ukrainian,1045
People Playground,schinese,93
Slime Rancher,english,34562
Slime Rancher,italian,280
Dead Cells,latam,254
Dead Cells,norwegian,20
The Walking Dead,russian,6122
Satisfactory,romanian,8
Baba Is You,swedish,16
FTL: Faster Than Light,brazilian,555
Super Hexagon,russian,1754
STEINS;GATE,english,2335
Grand Theft Auto V,norwegian,2166
Jurassic World Evolution,hungarian,166
Sword Art Online: Fatal Bullet,norwegian,3
Middle-earth™: Shadow of War™,spanish,1747
Total War Saga: Thrones of Britannia,koreana,258
Terraria,italian,3052
PAYDAY 2,spanish,28295
PAYDAY 2,norwegian,674
The Sims(TM) 3,romanian,18
Eco,dutch,36
Monster Prom,spanish,109
Ancestors Legacy,finnish,4
Vampyr,romanian,6
Just Cause 4,hungarian,36
Planet Coaster,danish,299
FINAL FANTASY XII THE ZODIAC AGE,greek,2
Torment: Tides of Numenera,finnish,5
Detention,french,47
Golf It!,russian,282
Ultimate Marvel vs. Capcom 3,english,1693
PC Building Simulator,hungarian,109
WWE 2K20,czech,12
Don't Escape: 4 Days to Survive,finnish,2
Pathfinder: Kingmaker,swedish,48
Kenshi,thai,71
Sekiro™: Shadows Die Twice,latam,321
The Henry Stickmin Collection,ukrainian,5
Nova Drift,swedish,4
Due Process,french,50
Totally Accurate Battle Simulator,finnish,141
People Playground,norwegian,65
Resident Evil 2,ukrainian,33
Dishonored,brazilian,1956
Dishonored,koreana,1656
Oxygen Not Included,japanese,262
Cuphead,vietnamese,11
ULTRAKILL,koreana,34
DOOM,turkish,1184
Keep Talking and Nobody Explodes,russian,407
STEINS;GATE,tchinese,478
Mark of the Ninja,brazilian,674
The Elder Scrolls Online,danish,145
Stellaris,czech,379
Fallout 4,norwegian,387
Call of Duty: WWII,greek,42
XCOM 2,russian,4579
The Elder Scrolls V: Skyrim Special Edition,schinese,10998
Darkest Dungeon®,english,40521
SOULCALIBUR VI,german,166
Ni no Kuni™ II: Revenant Kingdom,dutch,19
Trailmakers,ukrainian,3
Farm Together,finnish,7
Ghost of a Tale,dutch,12
Crash Bandicoot™ N. Sane Trilogy,vietnamese,1
Kingdom Two Crowns,dutch,20
