app_name,app_id,count
Cold Waters,541210,559
BeamNG.drive,284160,12661
Jurassic World Evolution,648350,9810
To the Moon,206440,3636
Heroes of Hammerwatch,677120,1567
Pathfinder: Kingmaker,640820,5359
Rocket League,252950,99397
No Man's Sky,275850,24133
Thimbleweed Park,569860,296
FINAL FANTASY XV WINDOWS EDITION,637650,6355
SOS,619080,486
ARK: Survival Evolved,346110,62163
Secret of Mana,637670,293
Tabletop Simulator,286160,6478
Grimm's Hollow,1170880,984
Hollow Knight,367520,58894
Train Sim World® 2020,530070,1679
Cave Story+,200900,415
Pillars of Eternity II: Deadfire,560130,2728
Dishonored,205100,5488
Dead Cells,588650,14019
Ni no Kuni™ II: Revenant Kingdom,589360,1877
People Playground,1118200,2930
Black Desert Online,582660,7476
Desolate,671510,1433
Devil May Cry HD Collection,631510,759
Pit People,291860,1126
Half-Life 2: Episode Two,420,3043
Rust,252490,116807
Railway Empire,503940,1493
HITMAN™ 2,863550,15316
Darkest Dungeon®,262060,14765
Styx: Shards of Darkness,355790,561
Rapture Rejects,686600,702
Artifact,583950,5293
Blackwake,420290,1883
Out of the Park Baseball 19,619290,184
Danganronpa: Trigger Happy Havoc,413410,2723
Phoenix Wright: Ace Attorney Trilogy,787480,2949
Guacamelee! Super Turbo Championship Edition,275390,2551
My Time At Portia,666140,9917
A Hat in Time,253230,12501
NBA 2K19,841370,11406
BattleBlock Theater,238460,5353
Just Shapes & Beats,531510,3130
Mutant Year Zero: Road to Eden,760060,11005
Nioh: Complete Edition,485510,4869
Totally Accurate Battlegrounds,823130,3656
Warhammer: Vermintide 2,552500,15375
Yakuza 0,638970,7324
OneShot,420530,3213
Castle Crashers,204360,9817
Undertale,391540,14850
Far Cry 5,552520,16256
DARK SOULS™ III,374320,44484
Terraria,105600,132846
Tales of Berseria,429660,2159
Little Nightmares,424840,3324
The Elder Scrolls Online,306130,17916
Watch_Dogs 2,447040,11341
Toukiden 2,551730,127
Don't Starve,219740,8970
Dungreed,753420,1347
Dragon Cliff 龙崖,758190,1791
Mirror,644560,12607
Keep Talking and Nobody Explodes,341800,1234
Frostpunk,323190,13294
Hunt: Showdown,594650,26344
Avorion,445220,1182
Axiom Verge,332200,417
DRAGON BALL FighterZ,678950,8390
Farm Together,673950,3680
WWE 2K17,510510,95
The Walking Dead,207610,1988
The Elder Scrolls V: Skyrim Special Edition,489830,27396
Cuphead,268910,10632
Arma 3,107410,28695
Detention,555220,1072
Cyberdimension Neptunia: 4 Goddesses Online,632350,792
Oxygen Not Included,457140,20960
The Crew 2,646910,9589
Euro Truck Simulator 2,227300,78082
Day of Infamy,447820,2698
Vampyr,427290,2648
Half-Life,70,9667
Broforce,274190,4736
Gunpoint,206190,697
RollerCoaster Tycoon World,282560,293
BERSERK and the Band of the Hawk,502280,212
Two Point Hospital,535930,8498
STEINS;GATE 0,825630,853
Golf It!,571740,3197
Urban Empire,352550,129
The Elder Scrolls V: Skyrim,72850,22571
SENRAN KAGURA ESTIVAL VERSUS,502800,820
BioShock Infinite,8870,10028
Dead by Daylight,381210,89254
Rise of Industry,671440,1320
Ancestors Legacy,620590,1359
Dying Light,239140,48203
Down To One,334040,29
Doki Doki Literature Club,698780,16369
The Wolf Among Us,250320,1421
Stay Out,1180380,1798
Momodora: Reverie Under the Moonlight,428550,1310
Ravenfield,636480,7492
Total War: ROME II - Emperor Edition,214950,7500
METAL GEAR SURVIVE,543900,398
Stellaris,281990,21124
Hearts of Iron IV,394360,33157
The Sims(TM) 3,47890,3912
Farm Manager 2018,495560,449
Sekiro™: Shadows Die Twice,814380,57578
Divinity: Original Sin 2,435150,25764
XCOM 2,268500,10917
Mark of the Ninja,214560,464
Batman: Arkham Asylum GOTY Edition,35140,3480
Budget Cuts,400940,401
Torment: Tides of Numenera,272270,327
They Are Billions,644930,10643
Age of Empires II (2013),221380,16195
We Were Here Too,677160,974
Cube World,1128000,13231
Total War Saga: Thrones of Britannia,712100,2161
Call of Duty: Infinite Warfare,292730,1459
"Warhammer 40,000: Dawn of War III",285190,1334
FINAL FANTASY XIV Online,39210,7224
Hunt Down The Freeman,723390,410
SENRAN KAGURA Peach Beach Splash,696170,509
Youtubers Life,428690,1520
Umbrella Corps,390340,188
Don't Escape: 4 Days to Survive,611760,428
Outlast,238320,6984
Enter the Gungeon,311690,16889
DARK SOULS™: REMASTERED,570940,8663
FAR: Lone Sails,609320,1987
Just Cause 3,225540,15739
Slipstream,732810,516
Farming Simulator 19,787860,10141
MORDHAU,629760,54044
Mount & Blade: Warband,48700,20963
Bloons TD 6,960090,10603
DOOM,379720,22538
Finding Paradise,337340,1844
Ghost of a Tale,417290,690
Sniper Elite 4,312660,6490
STAR WARS™ Empire at War: Gold Pack,32470,4712
Deep Rock Galactic,548430,17154
A Short Hike,1055540,1915
The Room,288160,2529
Tom Clancy's Ghost Recon® Wildlands,460930,8746
Subnautica,264710,21380
Stardew Valley,413150,78520
Tom Clancy's Rainbow Six Siege,359550,229594
Kingdom Two Crowns,701160,2675
Portal 2,620,36657
Shadow Complex Remastered,385560,57
American Truck Simulator,270880,15832
SOULCALIBUR VI,544750,2703
X Rebirth,2870,189
DRAGON QUEST HEROES™ II,574050,57
The Witcher 3: Wild Hunt,292030,95910
WWE 2K19,817130,1496
ATLAS,834910,14262
The Binding of Isaac,113200,2414
"Warhammer 40,000: Mechanicus",673880,1544
Assassin's Creed Odyssey,812140,26137
The Room Two,425580,1694
Duck Game,312530,4885
DiRT 4,421020,2034
Total War: THREE KINGDOMS,779340,44023
Nether,247730,324
Kenshi,233860,16173
Celeste,504230,9261
The Legend of Heroes: Trails of Cold Steel II,748490,350
Super Meat Boy,40800,1699
STEINS;GATE,412830,1517
Sid Meier's Civilization VI,289070,29769
Overcooked! 2,728880,7047
Titan Souls,297130,798
"Papers, Please",239030,6207
CHRONO TRIGGER,613830,884
Fairy Fencer F Advent Dark Force,524580,237
